
Epoch 0 --> 9/100, i=2500/2500, -3.00dB/90Hz, Tr_BER=0.088507, L_CE=0.168473, Now=19:31:28
Epoch 0 --> 10/100, i= 500/2500, -3.00dB/90Hz, Tr_BER=0.086798, L_CE=0.165726, Now=19:33:33
Epoch 0 --> 10/100, i=1000/2500, -3.00dB/90Hz, Tr_BER=0.086591, L_CE=0.165385, Now=19:35:25
Epoch 0 --> 10/100, i=1500/2500, -3.00dB/90Hz, Tr_BER=0.086572, L_CE=0.165392, Now=19:37:18
Epoch 0 --> 10/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.086406, L_CE=0.165070, Now=19:39:10
Epoch 0 --> 10/100, i=2500/2500, -3.00dB/90Hz, Tr_BER=0.086418, L_CE=0.165109, Now=19:41:01
Epoch 0 --> 11/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.086555, L_CE=0.165513, Now=19:43:07
Epoch 0 --> 11/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.086426, L_CE=0.165232, Now=19:45:00
Epoch 0 --> 11/100, i=1500/2500, -3.00dB/90Hz, Tr_BER=0.086204, L_CE=0.164812, Now=19:46:53
Epoch 0 --> 11/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.086040, L_CE=0.164523, Now=19:48:44
Epoch 0 --> 11/100, i=2500/2500, -4.00dB/90Hz, Tr_BER=0.085984, L_CE=0.164429, Now=19:50:36
Epoch 0 --> 12/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.085993, L_CE=0.164446, Now=19:52:42
Epoch 0 --> 12/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.085767, L_CE=0.164059, Now=19:54:34
Epoch 0 --> 12/100, i=1500/2500, -4.00dB/90Hz, Tr_BER=0.085993, L_CE=0.164476, Now=19:56:27
Epoch 0 --> 12/100, i=2000/2500, -3.00dB/90Hz, Tr_BER=0.085921, L_CE=0.164351, Now=19:58:19
Epoch 0 --> 12/100, i=2500/2500, -3.00dB/90Hz, Tr_BER=0.085857, L_CE=0.164228, Now=20:00:11
Epoch 0 --> 13/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.085424, L_CE=0.163558, Now=20:02:15
