
Epoch 0 --> 9/200, i=2500/2500, -4.00dB/120Hz, Tr_BER=0.104927, L_CE=0.193199, Now=12:31:03
Epoch 0 --> 10/200, i= 500/2500, -4.00dB/120Hz, Tr_BER=0.104751, L_CE=0.192950, Now=12:32:50
Epoch 0 --> 10/200, i=1000/2500, -4.00dB/120Hz, Tr_BER=0.104734, L_CE=0.192890, Now=12:34:19
Epoch 0 --> 10/200, i=1500/2500, -4.00dB/120Hz, Tr_BER=0.104620, L_CE=0.192695, Now=12:35:50
Epoch 0 --> 10/200, i=2000/2500, -4.00dB/120Hz, Tr_BER=0.104596, L_CE=0.192680, Now=12:37:14
Epoch 0 --> 10/200, i=2500/2500, -3.00dB/120Hz, Tr_BER=0.104629, L_CE=0.192740, Now=12:38:47
Epoch 0 --> 11/200, i= 500/2500, -3.00dB/120Hz, Tr_BER=0.104372, L_CE=0.192297, Now=12:40:04
Epoch 0 --> 11/200, i=1000/2500, -4.00dB/120Hz, Tr_BER=0.104488, L_CE=0.192538, Now=12:41:07
Epoch 0 --> 11/200, i=1500/2500, -4.00dB/120Hz, Tr_BER=0.104288, L_CE=0.192149, Now=12:42:35
Epoch 0 --> 11/200, i=2000/2500, -4.00dB/120Hz, Tr_BER=0.104348, L_CE=0.192302, Now=12:44:11
Epoch 0 --> 11/200, i=2500/2500, -3.00dB/120Hz, Tr_BER=0.104435, L_CE=0.192442, Now=12:45:46
Epoch 0 --> 12/200, i= 500/2500, -4.00dB/120Hz, Tr_BER=0.104805, L_CE=0.193009, Now=12:47:35
Epoch 0 --> 12/200, i=1000/2500, -4.00dB/120Hz, Tr_BER=0.104478, L_CE=0.192459, Now=12:49:10
Epoch 0 --> 12/200, i=1500/2500, -3.00dB/120Hz, Tr_BER=0.104409, L_CE=0.192434, Now=12:50:45
Epoch 0 --> 12/200, i=2000/2500, -4.00dB/120Hz, Tr_BER=0.104256, L_CE=0.192182, Now=12:52:20
Epoch 0 --> 12/200, i=2500/2500, -4.00dB/120Hz, Tr_BER=0.104268, L_CE=0.192193, Now=12:53:55
Epoch 0 --> 13/200, i= 500/2500, -4.00dB/120Hz, Tr_BER=0.103656, L_CE=0.191179, Now=12:55:42
Epoch 0 --> 13/200, i=1000/2500, -4.00dB/120Hz, Tr_BER=0.103808, L_CE=0.191452, Now=12:57:16
Epoch 0 --> 13/200, i=1500/2500, -3.00dB/120Hz, Tr_BER=0.103965, L_CE=0.191749, Now=12:58:51
Epoch 0 --> 13/200, i=2000/2500, -4.00dB/120Hz, Tr_BER=0.104078, L_CE=0.191905, Now=13:00:25
Epoch 0 --> 13/200, i=2500/2500, -4.00dB/120Hz, Tr_BER=0.104044, L_CE=0.191868, Now=13:02:01
Epoch 0 --> 14/200, i= 500/2500, -4.00dB/120Hz, Tr_BER=0.103352, L_CE=0.190615, Now=13:03:49
Epoch 0 --> 14/200, i=1000/2500, -3.00dB/120Hz, Tr_BER=0.103607, L_CE=0.191124, Now=13:05:22
Epoch 0 --> 14/200, i=1500/2500, -4.00dB/120Hz, Tr_BER=0.103686, L_CE=0.191223, Now=13:06:57
Epoch 0 --> 14/200, i=2000/2500, -4.00dB/120Hz, Tr_BER=0.103755, L_CE=0.191368, Now=13:08:32
Epoch 0 --> 14/200, i=2500/2500, -4.00dB/120Hz, Tr_BER=0.103925, L_CE=0.191679, Now=13:10:04
